#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495862676909509261	parsec.dedup	1800	41	1.200000	1.266000	1.519000	901168351	41744	7125276	123625760	285417592	281050410	10809206
1495862677418862188	parsec.dedup	1800	41	1.200000	1.252000	1.502000	901086870	38805	7156167	121395666	281780023	279146813	11327135
1495862677928451656	parsec.dedup	1800	41	1.200000	1.236000	1.483000	901377401	40119	7223496	127315461	290837085	283070476	11079076
1495862678437801124	parsec.dedup	1800	41	1.200000	1.259000	1.510000	901269189	39904	7084104	123500638	286205146	279618150	11273141
1495862678947223884	parsec.dedup	1800	41	1.100000	1.246000	1.492000	901238500	35069	6884870	113964856	276680879	273293419	11766422
1495862679456633477	parsec.dedup	1800	41	1.200000	1.262000	1.514000	901225550	40160	7025733	124910763	291206050	277876257	11092939
1495862679966169612	parsec.dedup	1800	41	1.200000	1.242000	1.490000	901384015	38666	6905987	115443150	270492313	270619865	12241300
1495862680475539371	parsec.dedup	1800	41	1.200000	1.246000	1.495000	901259275	39315	7235640	128466993	292178396	282770980	11041857
1495862680985051423	parsec.dedup	1800	41	1.200000	1.252000	1.502000	901069265	40106	7075917	125099588	285230662	279967879	11145040
1495862681494404683	parsec.dedup	1800	41	1.200000	1.266000	1.519000	901066864	40173	6909944	129155993	286719684	278913167	10744845
1495862682003742068	parsec.dedup	1800	41	1.200000	1.256000	1.507000	901085056	40034	7057426	128225858	288785030	282192520	11114065
1495862682513173702	parsec.dedup	1800	41	1.200000	1.260000	1.512000	901070150	39454	7236329	129797128	289627341	284680826	10680642
1495862683022578796	parsec.dedup	1800	41	1.200000	1.249000	1.498000	901119800	40976	7011480	122829726	285878374	278494943	11178146
1495862683531938639	parsec.dedup	1800	41	1.100000	1.257000	1.505000	901173591	40442	7006954	120792737	285918539	277295021	11615983
1495862684041343440	parsec.dedup	1800	41	1.200000	1.253000	1.503000	901093917	40508	6997796	128306095	291169344	280176062	10820357
1495862684550773700	parsec.dedup	1800	41	1.200000	1.260000	1.512000	901286382	38877	7046961	132397979	289587500	282485379	10635284
1495862685060219876	parsec.dedup	1800	41	1.200000	1.265000	1.518000	901167735	39596	7097787	128794701	288964345	282914338	10836247
1495862685569586553	parsec.dedup	1800	41	1.200000	1.263000	1.515000	901082660	37988	7288127	127393651	289236554	282771403	11319387
1495862686078840730	parsec.dedup	1800	41	1.200000	1.244000	1.492000	901090509	40242	7005669	125831931	286852972	278999898	11204554
1495862686588249114	parsec.dedup	1800	41	1.200000	1.266000	1.519000	901146511	40429	7161948	124128336	289761574	280289135	11388453
1495862687097749457	parsec.dedup	1800	41	1.200000	1.242000	1.490000	901152109	39804	6837721	124823162	279378186	275797539	11103929
1495862687607248050	parsec.dedup	1800	41	1.200000	1.268000	1.521000	901221526	41166	7009763	127663694	288750303	281020751	10646963
1495862688116815435	parsec.dedup	1800	41	1.200000	1.253000	1.503000	901104299	38610	6759342	125254164	283670103	276318058	10549191
1495862688626298111	parsec.dedup	1800	41	1.200000	1.263000	1.515000	608737668	20180	2270614	54104952	131851676	130628745	7723630
1495862689136294704	parsec.facesim	1800	41	1.100000	1.177000	1.410000	901144833	84362	5368367	77224215	196621706	234636732	15359477
1495862689646348671	parsec.facesim	1800	41	1.200000	1.155000	1.386000	901394004	83179	5327953	81348868	202429105	237838509	15182492
1495862690156474388	parsec.facesim	1800	41	1.100000	1.163000	1.393000	901144669	74557	4702033	98029204	238755176	244707419	14053032
1495862690665760773	parsec.facesim	1800	41	1.100000	1.167000	1.398000	901115955	15608	1329234	150238757	368689968	247901960	7634432
1495862691175812365	parsec.facesim	1800	41	1.200000	1.270000	1.524000	901104324	36265	3266362	70878054	184770641	185226342	11763227
1495862691685230958	parsec.facesim	1800	41	1.200000	1.170000	1.404000	901151031	8501	8557505	108042621	141759317	209708618	5993770
1495862692194519052	parsec.facesim	1800	41	1.100000	1.099000	1.316000	901102450	1004	6485553	110194583	183671278	214887451	5697901
1495862692703807728	parsec.facesim	1800	41	1.100000	1.114000	1.334000	901105305	5025	9614665	114028420	146361647	223019489	5020478
1495862693213017947	parsec.facesim	1800	41	1.100000	1.129000	1.352000	901108055	13312	3559503	85689197	173275025	161767129	7218213
1495862693722304290	parsec.facesim	1800	41	1.100000	1.145000	1.371000	901107445	12458	2590202	78423245	162131651	138923874	5222621
1495862694231519009	parsec.facesim	1800	41	1.100000	1.090000	1.305000	901100880	10800	2553125	76118432	156769388	133776203	4535772
1495862694740821768	parsec.facesim	1800	41	1.100000	1.102000	1.320000	901101875	14432	2511293	79290318	162098770	140115507	5377445
1495862695250098445	parsec.facesim	1800	41	1.100000	1.070000	1.281000	901139460	2535	15543818	169963121	189469864	341057536	4707655
1495862695759287705	parsec.facesim	1800	41	1.200000	1.125000	1.350000	901290220	226	4049387	77125416	1167451247	417725217	116762618
1495862696268318674	parsec.facesim	1800	42	1.200000	1.575000	1.891000	901092099	298	19105746	195973452	260112557	413594634	9179390
1495862696778185516	parsec.facesim	1800	41	1.200000	1.235000	1.482000	901078176	50783	1633971	52340072	348810350	227017393	12138107
1495862697287399651	parsec.facesim	1800	42	1.100000	1.191000	1.426000	901088265	226	1069868	44023739	453672950	255956073	8949181
1495862697796560620	parsec.facesim	1800	42	1.200000	1.373000	1.647000	901092640	226	1029506	42646937	437534211	248173311	10363627
1495862698305657755	parsec.facesim	1800	42	1.200000	1.359000	1.630000	901103320	280	934688	44367090	438400370	244442764	9980800
1495862698815026223	parsec.facesim	1800	42	1.200000	1.363000	1.635000	901097420	266	958596	46852888	418366881	239925031	13146264
1495862699324165067	parsec.facesim	1800	42	1.200000	1.359000	1.630000	901241950	246	944955	45949153	408817644	238232767	13370971
1495862699833341910	parsec.facesim	1800	42	1.200000	1.352000	1.623000	901203990	228	925779	44961175	399548870	233907969	13764942
1495862700342497671	parsec.facesim	1800	42	1.200000	1.342000	1.610000	901106989	224	928750	44651458	396815742	232908512	13874885
1495862700851712931	parsec.facesim	1800	42	1.200000	1.282000	1.538000	901090421	1232	106744	31151007	224358109	134357846	11684267
1495862701361052065	parsec.facesim	1800	41	1.100000	1.111000	1.330000	901095390	224	22053	6744514	178937632	96099532	16319160
1495862701870243451	parsec.facesim	1800	41	1.100000	1.104000	1.322000	901087580	226	22707	6685120	177121625	95226521	16096951
1495862702379562252	parsec.facesim	1800	41	1.100000	1.097000	1.314000	901093015	224	22229	6661739	176560805	94887998	16095502
1495862702888864304	parsec.facesim	1800	41	1.100000	1.099000	1.316000	901141805	228	24244	6878947	181908865	97367027	16927584
1495862703398131147	parsec.facesim	1800	41	1.100000	1.110000	1.329000	901093655	224	21877	6707085	178415664	95830148	16255549
1495862703907351241	parsec.facesim	1800	41	1.100000	1.105000	1.323000	901174536	228	22777	6753697	179407893	96335285	16384297
1495862704416593126	parsec.facesim	1800	41	1.100000	1.104000	1.322000	901082819	224	22375	6716978	178463490	95874256	16264437
1495862704925924719	parsec.facesim	1800	41	1.100000	1.099000	1.316000	901078840	226	22422	6674348	177212457	95213595	16114725
1495862705435103229	parsec.facesim	1800	41	1.200000	1.097000	1.316000	901081375	218	22823	6688063	176919398	95057679	16207355
1495862705944304197	parsec.facesim	1800	41	1.200000	1.100000	1.320000	901084625	226	22722	6824397	180517581	96626147	16687899
1495862706453464082	parsec.facesim	1800	41	1.200000	1.106000	1.327000	901085685	224	22018	6745703	179032743	96086411	16331246
1495862706962784509	parsec.facesim	1800	41	1.200000	1.093000	1.311000	901116870	228	23826	6687315	177255583	95255731	16136431
1495862707472216852	parsec.facesim	1800	41	1.100000	1.108000	1.327000	901089959	224	21867	6693026	177869469	95538351	16195116
1495862707981610654	parsec.facesim	1800	41	1.200000	1.088000	1.305000	901384081	228	22949	6724280	178513941	95873793	16267824
1495862708490775497	parsec.facesim	1800	41	1.100000	1.096000	1.313000	901208920	224	22764	6559719	173717377	93438672	15707022
1495862709000135007	parsec.facesim	1800	41	1.100000	1.083000	1.297000	901301430	226	23785	6716632	178147426	95737821	16225749
1495862709509633225	parsec.facesim	1800	41	1.100000	1.101000	1.318000	901125080	224	23172	6777360	179116275	96171295	16512444
1495862710018973693	parsec.facesim	1800	41	1.100000	1.105000	1.323000	901136825	226	22847	6777922	179661189	96260598	16534402
1495862710528209412	parsec.facesim	1800	41	1.100000	1.099000	1.316000	901127031	224	21525	6703220	178294966	95751903	16246253
1495862711037431672	parsec.facesim	1800	41	1.100000	1.108000	1.327000	901130179	228	23129	6732419	178837472	96059731	16313803
1495862711546660223	parsec.facesim	1800	41	1.100000	1.101000	1.318000	901155730	226	21817	6723914	178394437	95822215	16247785
1495862712055990900	parsec.facesim	1800	41	1.100000	1.100000	1.317000	901127906	241	517753	26740035	296719209	164571742	14875871
1495862712565186368	parsec.facesim	1800	42	1.200000	1.359000	1.630000	901117098	224	985367	46335544	409296100	232787749	13461903
1495862713074391754	parsec.facesim	1800	42	1.200000	1.351000	1.621000	901185725	224	971480	44573056	393213418	225944583	14130431
1495862713583553930	parsec.facesim	1800	42	1.200000	1.345000	1.614000	901289930	251	535187	49584385	348830653	198834118	9922280
1495862714092705774	parsec.facesim	1800	42	1.200000	1.350000	1.621000	901111875	2293	1291117	134768423	324238802	215513075	9671097
1495862714602264075	parsec.facesim	1800	42	1.200000	1.326000	1.591000	616739533	18966	1673464	56810715	117190044	116433075	9321484
1495862715112127668	parsec.freqmine	1800	41	1.100000	1.071000	1.283000	901447966	84513	5356035	77355709	196518292	234060993	15280982
1495862715621886802	parsec.freqmine	1800	41	1.200000	1.155000	1.386000	901239933	83154	5313827	81442888	202312893	237282128	15067111
1495862716131771894	parsec.freqmine	1800	41	1.200000	1.164000	1.396000	901250599	69745	4475714	76404731	184754887	207662286	12741335
1495862716640762155	parsec.freqmine	1800	41	1.200000	1.168000	1.401000	901074735	1982	605576	39935687	77823371	48495799	1008045
1495862717149899832	parsec.freqmine	1800	41	1.100000	1.045000	1.251000	901083984	2031	616880	39946725	77935996	48760860	1029133
1495862717659020133	parsec.freqmine	1800	40	1.100000	0.977000	1.170000	901087791	1924	634328	39918527	77723929	48877744	1046449
1495862718168107894	parsec.freqmine	1800	40	1.100000	0.979000	1.172000	901237765	1912	617241	39886652	77644133	48568346	1054092
1495862718677296987	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901094425	1920	646844	39903725	77693490	49040669	1061613
1495862719186414247	parsec.freqmine	1800	40	1.100000	0.979000	1.172000	901161774	1924	595526	39886115	77650301	48203698	1054104
1495862719695595299	parsec.freqmine	1800	40	1.100000	0.977000	1.170000	901085346	1921	653605	39910035	77698933	49158907	1057914
1495862720204857309	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901075475	1927	593921	39869599	77633609	48169861	1058326
1495862720713987236	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901103070	1926	639983	39915751	77717552	48982736	1055241
1495862721223153663	parsec.freqmine	1800	40	1.100000	0.979000	1.172000	901089295	1920	654282	39906885	77698718	49186585	1055000
1495862721732334215	parsec.freqmine	1800	40	1.100000	0.979000	1.172000	901090765	1925	642762	39913167	77707854	49001924	1058182
1495862722241507141	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901094235	1916	623379	39881126	77628003	48648181	1055216
1495862722750763526	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901100099	1923	638832	39902782	77694873	48913020	1058971
1495862723260001953	parsec.freqmine	1800	40	1.100000	0.979000	1.172000	901180019	1928	642710	39929129	77743896	49016469	1053665
1495862723769164755	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901071741	3162	1199606	43114996	92251037	73212732	1639391
1495862724278258474	parsec.freqmine	1800	40	1.100000	0.978000	1.171000	901072176	3147	3806553	46779484	220234475	277446755	5340681
1495862724787441567	parsec.freqmine	1800	41	1.200000	1.379000	1.656000	901069425	10247	3949944	60325001	197292548	227313541	18668200
1495862725296874702	parsec.freqmine	1800	41	1.200000	1.379000	1.654000	901087880	30430	2354962	114158441	201757619	113436293	32038432
1495862725806145503	parsec.freqmine	1800	41	1.100000	1.096000	1.313000	901211385	7959	5481181	108254985	319239401	205997471	16628890
1495862726315239014	parsec.freqmine	1800	41	1.100000	1.139000	1.364000	901078195	244	10170582	151428775	522008375	372838070	2757557
1495862726824394690	parsec.freqmine	1800	42	1.200000	1.375000	1.651000	901083102	224	10171580	153750714	558398816	395910405	1463956
1495862727333389659	parsec.freqmine	1800	42	1.200000	1.403000	1.683000	901183038	226	10250104	151480058	543809822	385576657	2217008
1495862727842504669	parsec.freqmine	1800	42	1.200000	1.411000	1.693000	901220915	246	11124552	149358120	530047305	391687699	2216079
1495862728351590721	parsec.freqmine	1800	42	1.200000	1.388000	1.666000	901097154	226	9612613	154847465	565274386	391689887	1589720
1495862728860706106	parsec.freqmine	1800	42	1.200000	1.411000	1.694000	901067492	224	10088436	153232792	560598303	394562811	1425821
1495862729369817492	parsec.freqmine	1800	42	1.200000	1.406000	1.687000	901072619	228	10221275	151653082	547803879	387672937	1814270
1495862729878834335	parsec.freqmine	1800	42	1.200000	1.393000	1.671000	901075576	224	9649619	154028399	565253876	390722839	1487690
1495862730387840887	parsec.freqmine	1800	42	1.200000	1.406000	1.687000	901070052	224	9967391	153337295	562555988	393565896	1331529
1495862730897010439	parsec.freqmine	1800	42	1.200000	1.404000	1.684000	901068078	224	10499350	151989105	554535579	395964358	1916751
1495862731406256824	parsec.freqmine	1800	42	1.200000	1.409000	1.690000	901182685	232	10374844	152854761	548156488	392641857	1794637
1495862731915312834	parsec.freqmine	1800	42	1.200000	1.398000	1.677000	901058873	224	9942047	153922318	559463229	393379944	1697916
1495862732424378345	parsec.freqmine	1800	42	1.200000	1.410000	1.692000	901065830	224	10348724	153231988	555519853	396277674	1513923
1495862732933560105	parsec.freqmine	1800	42	1.200000	1.405000	1.687000	901106869	224	10667462	152240552	552888782	398428496	1380874
1495862733442679698	parsec.freqmine	1800	42	1.200000	1.403000	1.683000	901080767	228	10525836	151256099	549184918	392451136	1770853
1495862733951837875	parsec.freqmine	1800	42	1.200000	1.410000	1.692000	901076448	224	10024931	151777999	563575337	392085160	1560399
1495862734461012510	parsec.freqmine	1800	42	1.200000	1.411000	1.693000	901064452	224	10613901	150057426	546985800	391151676	1944372
1495862734970134062	parsec.freqmine	1800	42	1.200000	1.408000	1.689000	901066789	230	10330422	151050756	558210564	394192483	1521540
1495862735479238322	parsec.freqmine	1800	42	1.200000	1.404000	1.686000	901073660	226	9872833	152463248	565298216	391883566	1590898
1495862735988289041	parsec.freqmine	1800	42	1.200000	1.410000	1.692000	901066879	224	10636732	149785151	556181492	396221333	1772759
1495862736497405926	parsec.freqmine	1800	42	1.200000	1.396000	1.675000	901066957	230	10194639	150437654	544624862	384328173	2322795
1495862737006529270	parsec.freqmine	1800	42	1.200000	1.414000	1.698000	901080725	226	10639188	149320225	550084632	392719638	2042393
1495862737515660530	parsec.freqmine	1800	42	1.200000	1.403000	1.685000	901207895	224	10603610	149601032	552656835	393592572	1857914
1495862738024992290	parsec.freqmine	1800	42	1.200000	1.406000	1.688000	901227130	232	10396826	148676243	533141552	378720555	2507158
1495862738534507800	parsec.freqmine	1800	42	1.200000	1.387000	1.665000	901202700	262	6268917	142901276	389213499	238289369	8419208
1495862739043743143	parsec.freqmine	1800	42	1.200000	1.183000	1.419000	901200010	365	6848447	131915908	348312797	242201342	8745353
1495862739553007736	parsec.freqmine	1800	42	1.200000	1.295000	1.554000	901297640	1708	9646801	129145966	383087047	304527885	7576642
1495862740062092413	parsec.freqmine	1800	42	1.200000	1.238000	1.485000	901188030	1577	11719904	122990096	288448157	309840614	11364933
1495862740571347715	parsec.freqmine	1800	42	1.200000	1.285000	1.542000	901198340	1540	11629169	127116720	300268339	320819187	12571280
1495862741080514100	parsec.freqmine	1800	42	1.200000	1.295000	1.554000	901188085	4395	12286319	121235677	289625439	331220227	12531802
1495862741590250484	parsec.streamcluster	1800	41	1.100000	0.744000	0.890000	615655204	55262	3618982	55733148	138806794	160949703	10226224
1495862742100216535	parsec.streamcluster	1800	41	1.200000	1.161000	1.393000	901407560	83732	5348833	79125500	199088603	235802703	15179220
1495862742610329794	parsec.streamcluster	1800	41	1.200000	1.166000	1.399000	901379929	35577	2584855	65484464	285100431	216278470	22490511
1495862743119718970	parsec.streamcluster	1800	42	1.200000	1.327000	1.592000	901243145	224	1279223	33793001	297587699	197915724	34526548
1495862743629074022	parsec.streamcluster	1800	42	1.200000	1.408000	1.691000	901194895	226	1272386	33831955	297790042	197854479	34559006
1495862744138330115	parsec.streamcluster	1800	42	1.200000	1.411000	1.694000	901234115	224	1273953	33831358	297763583	197890780	34539383
1495862744647581334	parsec.streamcluster	1800	43	1.200000	1.410000	1.692000	901222551	226	1264623	33699516	297172337	197328322	34498236
1495862745156830510	parsec.streamcluster	1800	43	1.200000	1.409000	1.692000	901259444	224	1262934	33787633	297611543	197529004	34543946
1495862745666188604	parsec.streamcluster	1800	43	1.200000	1.410000	1.693000	901246879	226	1274518	33803479	297406267	197714690	34509779
1495862746175382197	parsec.streamcluster	1800	43	1.200000	1.410000	1.692000	901227532	224	1264278	33768101	297338521	197411847	34515652
1495862746684698540	parsec.streamcluster	1800	43	1.200000	1.412000	1.695000	901384369	230	1276205	33780749	297906723	197995394	34571815
1495862747193924217	parsec.streamcluster	1800	43	1.200000	1.412000	1.695000	901141869	226	1260914	33774352	297468469	197403561	34533820
1495862747703358643	parsec.streamcluster	1800	43	1.200000	1.414000	1.698000	901325665	226	1180519	33453408	296088875	194530949	34491728
1495862748212756820	parsec.streamcluster	1800	43	1.200000	1.408000	1.691000	901242947	226	1153012	33441618	296568599	194221889	34558856
1495862748722119538	parsec.streamcluster	1800	43	1.200000	1.408000	1.689000	901241865	224	1123707	33423389	296656224	193589444	34579441
1495862749231385506	parsec.streamcluster	1800	43	1.200000	1.410000	1.692000	901228695	226	1118869	33427025	296517074	193381183	34590298
1495862749740671016	parsec.streamcluster	1800	43	1.200000	1.410000	1.693000	901224554	224	1086302	33214446	295937529	192273826	34561070
1495862750250025276	parsec.streamcluster	1800	44	1.200000	1.407000	1.689000	901478601	228	1084099	33304358	296206734	192374177	34586845
1495862750759331828	parsec.streamcluster	1800	44	1.200000	1.408000	1.691000	901230785	230	1072647	33303453	295470264	191672644	34587649
1495862751268473921	parsec.streamcluster	1800	44	1.200000	1.409000	1.690000	901228133	226	1049834	33073337	295107148	190922789	34565652
1495862751777846681	parsec.streamcluster	1800	44	1.200000	1.407000	1.688000	901234605	224	1050666	33166454	295412790	191117232	34592190
1495862752287107566	parsec.streamcluster	1800	44	1.200000	1.406000	1.688000	901233171	226	1043406	33064242	293096704	189643291	34510880
1495862752796543868	parsec.streamcluster	1800	44	1.200000	1.403000	1.683000	901226989	224	1027081	32987563	294185903	189850547	34670284
1495862753306243085	parsec.streamcluster	1800	44	1.200000	1.406000	1.687000	901253111	226	1023697	32872981	293388776	189320644	34583668
1495862753815595970	parsec.streamcluster	1800	44	1.200000	1.405000	1.686000	901376365	226	1025976	32886698	293730222	189561690	34617799
1495862754324911814	parsec.streamcluster	1800	44	1.200000	1.406000	1.687000	901232705	226	1026681	33017066	294376010	189945242	34693446
1495862754834168324	parsec.streamcluster	1800	44	1.200000	1.406000	1.687000	901239866	226	1024493	32910071	294027546	189692213	34669687
1495862755343496834	parsec.streamcluster	1800	44	1.200000	1.407000	1.688000	901237069	226	1026443	33142597	293548650	189448928	34695414
1495862755852795968	parsec.streamcluster	1800	44	1.200000	1.405000	1.686000	901229520	224	1015400	32934630	293746219	189298557	34743619
1495862756362046937	parsec.streamcluster	1800	44	1.200000	1.406000	1.687000	901330215	226	1014836	32859012	293613791	189219364	34736116
1495862756871559863	parsec.streamcluster	1800	44	1.200000	1.406000	1.688000	901155901	224	1015580	32951538	293895525	189393211	34758816
1495862757380822331	parsec.streamcluster	1800	44	1.200000	1.406000	1.687000	901273554	224	1017353	32904299	294070187	189513202	34793116
1495862757890307466	parsec.streamcluster	1800	44	1.200000	1.408000	1.691000	901137745	230	1014835	32827600	294393929	189547983	34696888
1495862758400153892	splash2x.barnes	1800	43	1.200000	1.406000	1.688000	617452127	52590	3483330	54921055	142363751	160597118	10341326
1495862758909892985	splash2x.barnes	1800	43	1.100000	1.160000	1.389000	901472518	83864	5341801	79060103	199314137	236357386	15229738
1495862759419630661	splash2x.barnes	1800	43	1.100000	1.165000	1.395000	901399177	82619	5310071	83621546	205569670	239687539	15009714
1495862759929068671	splash2x.barnes	1800	43	1.100000	1.170000	1.401000	901454530	52624	3446604	73977432	202427916	215617517	15051692
1495862760438396305	splash2x.barnes	1800	42	1.100000	1.198000	1.435000	901265645	6275	3189320	54160262	149494676	139717125	15816447
1495862760947597941	splash2x.barnes	1800	43	1.200000	1.158000	1.389000	901387560	226	1982393	52803942	308126486	216381223	14340932
1495862761456780159	splash2x.barnes	1800	43	1.200000	1.391000	1.669000	901248704	226	1914522	52896413	309146157	215878515	15565316
1495862761965937294	splash2x.barnes	1800	43	1.200000	1.397000	1.676000	901253976	224	1898407	52961662	309330245	215798950	15520203
1495862762475176846	splash2x.barnes	1800	43	1.200000	1.397000	1.677000	901250329	226	1873722	52896085	309159915	215479664	15738546
1495862762984439023	splash2x.barnes	1800	43	1.200000	1.398000	1.678000	901256601	226	1858102	52974856	309507192	215260965	15654363
